epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.617,1.94081,5.37784,1.48289,0.00201,0.94203,0.02862,0.01658,1.84543,5.27634,1.15896,0.000654321,0.000654321,0.000654321
2,273.064,1.73198,2.7303,1.33117,0.64406,0.49275,0.61568,0.28884,1.99115,4.24955,1.49694,0.00130464,0.00130464,0.00130464
3,423.709,1.78684,2.47671,1.40819,0.82797,0.62784,0.71473,0.36001,1.88414,3.12352,1.50867,0.00193846,0.00193846,0.00193846
4,566.775,1.78425,2.63295,1.39184,0.65109,0.68116,0.66584,0.34696,1.80911,3.30593,1.40443,0.00192575,0.00192575,0.00192575
5,690.721,1.7542,1.97827,1.42279,0.82956,0.8465,0.90061,0.46659,1.86862,2.38887,1.3842,0.001901,0.001901,0.001901
6,827.611,1.71106,1.70688,1.37393,0.70197,0.92172,0.8349,0.43543,1.74454,2.78943,1.36595,0.00187625,0.00187625,0.00187625
7,954.52,1.64407,1.63563,1.34969,0.83011,0.72464,0.82882,0.48122,1.71979,1.98952,1.44685,0.0018515,0.0018515,0.0018515
8,1096.24,1.62319,1.45633,1.35601,0.86003,0.86957,0.94257,0.50396,1.75382,1.78647,1.41504,0.00182675,0.00182675,0.00182675
9,1227.9,1.71536,1.40839,1.36835,0.63529,0.86957,0.70597,0.31594,1.87578,1.9714,1.36253,0.001802,0.001802,0.001802
10,1364.02,1.56367,1.27214,1.29076,0.83084,0.92537,0.92074,0.50533,1.62911,1.60224,1.33736,0.00177725,0.00177725,0.00177725
11,1495.99,1.66129,1.2236,1.35574,0.84153,0.82609,0.87645,0.47637,1.58971,1.53403,1.36627,0.0017525,0.0017525,0.0017525
12,1623.79,1.59081,1.2095,1.35734,0.82584,0.89343,0.88811,0.49142,1.67201,1.40402,1.3647,0.00172775,0.00172775,0.00172775
13,1744.48,1.52984,1.12596,1.30153,0.79959,0.85507,0.89068,0.48426,1.61699,1.35932,1.35644,0.001703,0.001703,0.001703
14,1881.15,1.54704,1.08665,1.2725,0.87413,0.88406,0.92033,0.50114,1.523,1.32096,1.35361,0.00167825,0.00167825,0.00167825
15,2005.23,1.55665,1.03162,1.27752,0.84122,0.92142,0.91963,0.5496,1.60808,1.12476,1.3698,0.0016535,0.0016535,0.0016535
16,2123.05,1.50475,1.04791,1.26408,0.81443,0.88406,0.91708,0.52426,1.71154,1.4781,1.34076,0.00162875,0.00162875,0.00162875
17,2239.93,1.59943,1.09345,1.29229,0.71078,0.74801,0.7597,0.38989,1.8131,1.53123,1.42853,0.001604,0.001604,0.001604
18,2375.33,1.56644,1.03887,1.29617,0.75342,0.88568,0.87499,0.50956,1.59645,1.31433,1.34367,0.00157925,0.00157925,0.00157925
